Age,Gender,Marital Status,"How many children do you have, if any?",Education Level,Employment Status,Monthly Household Income,Did you vote in the previous election?,"If you didn't vote, what was the reason?",Would you be willing to vote in the next election?,How interested are you in politics?,How do you get your news and information about politics?/Other,"If other, specify.",Key Issues Summary,News Sources Summary
20-29,Male,Single,0.0,Tertiary,Student,Less than 10000,No,I didn't think my vote would make a difference,Not sure,Slightly interested,0.0,Not specified,Education Healthcare Jobs/Employment Transportation/Infrastructure Taxes; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Online News Websites Radio; 1.0; 1.0; 0.0; 1.0; 1.0
50-59,Male,Married,4.0,Tertiary,Employed, 20001-30000,Yes,No reason provided,Not sure,Interested,0.0,Not specified,Education Healthcare Environment/Climate Change; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0,Social Media Online News Websites Print Newspapers; 0.0; 1.0; 1.0; 1.0; 0.0
60,Male,Married,4.0,Tertiary,Self-employed, 20001-30000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Transportation/Infrastructure Affordable Housing Healthcare; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
40-49,Female,Married,4.0,Tertiary,Employed, 20001-30000,No,I didn't have time,Likely,Slightly interested,0.0,Not specified,Education Healthcare Crime and Safety Jobs/Employment Transportation/Infrastructure Environment/Climate Change; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
20-29,Female,Single,0.0,Tertiary,Student,Less than 10000,No,I didn't like the candidates,Very Unlikely,Not at all Interested,0.0,Not specified,Healthcare Education Transportation/Infrastructure Taxes Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
40-49,Female,Married,4.0,Tertiary,Unemployed,60k+,Yes,No reason provided,Very likely,Not at all Interested,0.0,Not specified,Crime and Safety Education Healthcare Jobs/Employment Transportation/Infrastructure Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0,Radio TV News; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Self-employed, 20001-30000,Yes,No reason provided,Unlikely,Slightly interested,0.0,Not specified,Transportation/Infrastructure Other ; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
20-39,Female,Married,1.0,Tertiary,Self-employed,10001-20000,No,Other,Not sure,Not at all Interested,0.0,Not specified,Education Crime and Safety Transportation/Infrastructure Environment/Climate Change; 1.0; 0.0; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0,Social Media TV News; 1.0; 1.0; 0.0; 0.0; 0.0
40-49,Female,Married,4.0,Secondary,Employed, 20001-30000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Jobs/Employment Crime and Safety Healthcare; 0.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Online News Websites Social Media; 1.0; 1.0; 0.0; 1.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Healthcare Transportation/Infrastructure Education; 1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
40-49,Female,Married,2.0,Secondary,Unemployed,Less than 10000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Healthcare Crime and Safety Transportation/Infrastructure; 0.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
40-49,Male,Married,2.0,Secondary,Unemployed,Less than 10000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Healthcare Transportation/Infrastructure Jobs/Employment; 0.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Self-employed,Less than 10000,No,I was not eligible to vote,Very likely,Interested,0.0,Twitter,Education Jobs/Employment Social Justice/Equality; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Secondary,Employed,10001-20000,Yes,Other,Very likely,Very Interested,0.0,Not specified,Education Transportation/Infrastructure Affordable Housing; 1.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
50-59,Female,Married,4.0,Primary,Self-employed, 40001-50000,Yes,Other,Very likely,Very Interested,0.0,Political Gathering,Education Healthcare Social Justice/Equality Taxes Environment/Climate Change Transportation/Infrastructure; 1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Student,Unknown,No,I didn't have time,Not sure,Not at all Interested,0.0,Not specified,Crime and Safety Jobs/Employment Healthcare; 0.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
20-29,Female,Single,0.0,Tertiary,Student,Unknown,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Crime and Safety Jobs/Employment Healthcare; 0.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
20-39,Female,Married,2.0,Secondary,Employed,10001-20000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Crime and Safety Healthcare Social Justice/Equality; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0,Radio TV News; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Self-employed, 20001-30000,No,I didn't like the candidates,Not sure,Not at all Interested,0.0,Not specified,Crime and Safety Jobs/Employment Healthcare; 0.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,Unknown,No,Other,Unlikely,Not at all Interested,Not specified,Not specified,Healthcare Jobs/Employment Crime and Safety; 0.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,
20-29,Male,Married,2.0,Tertiary,Employed,10001-20000,Yes,No reason provided,Very likely,Very Interested,Not specified,Not specified,Affordable Housing; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,
20-39,Female,Married,2.0,Primary,Employed,10001-20000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Transportation/Infrastructure; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
40-49,Male,Married,3.0,Secondary,Employed, 20001-30000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
20-29,Male,Single,0.0,Tertiary,Unemployed,10001-20000,Yes,No reason provided,Very likely,Slightly interested,0.0,Not specified,Jobs/Employment Transportation/Infrastructure Education; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,10001-20000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
20-39,Female,Divorced,2.0,Tertiary,Self-employed, 20001-30000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Education Affordable Housing Taxes; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
40-49,Male,Married,3.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Social Justice/Equality Transportation/Infrastructure Healthcare; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Not sure,Not at all Interested,0.0,Not specified,Education; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
50-59,Female,Married,7.0,Primary,Unemployed,Less than 10000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Healthcare; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
50-59,Male,Married,7.0,Primary,Self-employed, 20001-30000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Secondary,Employed,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Education Healthcare Transportation/Infrastructure; 1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,Online News Websites; 0.0; 0.0; 0.0; 1.0; 0.0
40-49,Female,Married,2.0,Secondary,Employed, 20001-30000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Taxes Transportation/Infrastructure Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
20-39,Female,Single,0.0,Tertiary,Student,Less than 10000,No,I was not eligible to vote,Likely,Slightly interested,0.0,Not specified,Education Jobs/Employment Environment/Climate Change Social Justice/Equality; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0,Radio Print Newspapers TV News Online News Websites; 1.0; 0.0; 1.0; 1.0; 1.0
20-39,Female,Married,0.0,Tertiary,Employed,60k+,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Transportation/Infrastructure Healthcare Other ; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Affordable Housing Transportation/Infrastructure Healthcare; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,Less than 10000,No,I was not eligible to vote,Likely,Slightly interested,0.0,Not specified,Transportation/Infrastructure Healthcare Other ; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
20-39,Male,Married,3.0,Tertiary,Employed,Less than 10000,Yes,No reason provided,Very likely,Not at all Interested,0.0,Not specified,Affordable Housing Healthcare Education Jobs/Employment Transportation/Infrastructure; 1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
20-29,Female,Single,0.0,Tertiary,Student,Less than 10000,No,I was not eligible to vote,Not sure,Slightly interested,0.0,Not specified,Healthcare Education Jobs/Employment Affordable Housing Crime and Safety Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
20-39,Female,Married,3.0,Tertiary,Employed, 20001-30000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Affordable Housing Transportation/Infrastructure Healthcare; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
<20,Male,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Very Unlikely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
<20,Male,Single,0.0,Tertiary,Unemployed,Less than 10000,Yes,No reason provided,Very Unlikely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Healthcare Jobs/Employment Social Justice/Equality; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,Social Media TV News Radio; 1.0; 1.0; 0.0; 0.0; 1.0
20-29,Female,Single,0.0,Secondary,Unemployed,Less than 10000,No,I was not eligible to vote,Not sure,Slightly interested,0.0,Not specified,Jobs/Employment Healthcare Transportation/Infrastructure Taxes; 0.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0,Social Media TV News Radio; 1.0; 1.0; 0.0; 0.0; 1.0
<20,Male,Single,0.0,Secondary,Unemployed,Less than 10000,No,I was not eligible to vote,Unlikely,Not at all Interested,0.0,Not specified,Taxes Environment/Climate Change Healthcare; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0,Radio Social Media; 0.0; 1.0; 0.0; 0.0; 1.0
<20,Female,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Jobs/Employment Transportation/Infrastructure; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Married,1.0,Tertiary,Employed, 20001-30000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Transportation/Infrastructure Jobs/Employment Healthcare Education; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,Radio Print Newspapers Social Media TV News; 1.0; 1.0; 1.0; 0.0; 1.0
20-39,Male,Married,3.0,Tertiary,Employed, 20001-30000,Yes,No reason provided,Likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Transportation/Infrastructure Taxes; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Print Newspapers; 1.0; 1.0; 1.0; 0.0; 0.0
20-29,Female,Married,0.0,Tertiary,Employed,60k+,Yes,No reason provided,Likely,Interested,0.0,Not specified,Environment/Climate Change; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
40-49,Female,Divorced,3.0,Secondary,Unemployed,Less than 10000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Transportation/Infrastructure Taxes Healthcare Education; 1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
40-49,Female,Married,2.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Not sure,Not at all Interested,0.0,Not specified,Crime and Safety Other ; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Jobs/Employment Education Healthcare Transportation/Infrastructure; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Radio Social Media; 1.0; 1.0; 0.0; 0.0; 1.0
20-29,Female,Married,2.0,Secondary,Unemployed,Less than 10000,No,I was not eligible to vote,Likely,Not at all Interested,0.0,Not specified,Healthcare Jobs/Employment Transportation/Infrastructure; 0.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
50-59,Male,Married,3.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Transportation/Infrastructure Taxes; 1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
40-49,Female,Married,3.0,Primary,Unemployed,10001-20000,No,Other,Not sure,Slightly interested,0.0,Not specified,Healthcare Taxes Transportation/Infrastructure; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
60,Male,Married,2.0,Tertiary,Self-employed,Less than 10000,Yes,No reason provided,Not sure,Not at all Interested,0.0,Not specified,Taxes Jobs/Employment Affordable Housing; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
20-29,Female,Single,0.0,Tertiary,Student,10001-20000,No,I didn't think my vote would make a difference,Not sure,Slightly interested,0.0,Not specified,Affordable Housing Jobs/Employment Healthcare; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media Online News Websites; 0.0; 1.0; 0.0; 1.0; 0.0
40-49,Female,Divorced,3.0,Secondary,Employed,10001-20000,No,I didn't have time,Not sure,Not at all Interested,0.0,Not specified,Social Justice/Equality Jobs/Employment Healthcare; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
60,Male,Married,8.0,Secondary,Unemployed,Less than 10000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Education Affordable Housing Jobs/Employment; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
60,Male,Married,9.0,Primary,Unemployed,Less than 10000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Healthcare Jobs/Employment Education; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
20-29,Female,Single,0.0,Tertiary,Student,Less than 10000,No,I didn't think my vote would make a difference,Very likely,Not at all Interested,0.0,Not specified,Jobs/Employment Education Healthcare; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media TV News Radio; 1.0; 1.0; 0.0; 0.0; 1.0
40-49,Female,Married,4.0,Tertiary,Self-employed,10001-20000,Yes,No reason provided,Very likely,Not at all Interested,0.0,Not specified,Education Healthcare Crime and Safety Environment/Climate Change Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
40-49,Male,Married,4.0,Tertiary,Self-employed, 20001-30000,Yes,Other,Very likely,Not at all Interested,0.0,Not specified,Education Jobs/Employment Healthcare Crime and Safety; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
20-29,Female,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Not sure,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Transportation/Infrastructure Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
50-59,Female,Married,3.0,Tertiary,Employed, 20001-30000,Yes,No reason provided,Very likely,Slightly interested,0.0,Not specified,Affordable Housing Crime and Safety Taxes Transportation/Infrastructure Healthcare; 0.0; 1.0; 0.0; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0,TV News Online News Websites Social Media Print Newspapers; 1.0; 1.0; 1.0; 1.0; 0.0
20-29,Female,Single,0.0,Tertiary,Unemployed,Less than 10000,No,Other,Not sure,Slightly interested,0.0,Not specified,Healthcare Jobs/Employment Crime and Safety Taxes Social Justice/Equality; 0.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
